record_id,timestamp_received,logistic_pred,svm_pred,rf_pred,final_vote,confidence_score
REC_16021,2026-05-17T11:14:04.160669,0,0,0,0,0.9889
REC_16022,2026-05-17T11:14:04.213581,0,0,0,0,0.8550
REC_16023,2026-05-17T11:14:04.263032,0,0,0,0,0.9577
REC_16024,2026-05-17T11:14:04.313412,0,0,0,0,0.9786
REC_16025,2026-05-17T11:14:04.363767,0,0,0,0,0.9972
REC_16026,2026-05-17T11:14:04.414915,0,0,0,0,0.9930
REC_16027,2026-05-17T11:14:04.464864,0,0,0,0,0.9786
REC_16028,2026-05-17T11:14:04.516295,0,0,0,0,0.8312
REC_16029,2026-05-17T11:14:04.566406,0,0,0,0,0.9975
REC_16030,2026-05-17T11:14:04.617679,0,0,0,0,0.8443
REC_16031,2026-05-17T11:14:04.667564,0,0,0,0,0.9789
REC_16032,2026-05-17T11:14:04.719511,0,0,0,0,0.9789
REC_16033,2026-05-17T11:14:04.769892,0,0,0,0,0.9782
REC_16034,2026-05-17T11:14:04.821435,0,0,0,0,0.9641
REC_16035,2026-05-17T11:14:04.872619,0,0,0,0,0.9786
REC_16036,2026-05-17T11:14:04.923030,0,0,0,0,0.8514
REC_16037,2026-05-17T11:14:04.974263,0,0,0,0,0.9793
REC_16038,2026-05-17T11:14:05.023637,0,0,0,0,0.9969
REC_16039,2026-05-17T11:14:05.075997,0,0,0,0,0.9789
REC_16040,2026-05-17T11:14:05.125522,0,0,0,0,0.9781
REC_16041,2026-05-17T11:14:05.175998,0,0,0,0,0.9979
REC_16042,2026-05-17T11:14:05.227724,0,0,0,0,0.9791
REC_16043,2026-05-17T11:14:05.278287,0,0,0,0,0.9856
REC_16044,2026-05-17T11:14:05.328904,0,0,0,0,0.9709
REC_16045,2026-05-17T11:14:05.380480,0,0,0,0,0.9963
REC_16046,2026-05-17T11:14:05.430959,0,0,0,0,0.9979
REC_16047,2026-05-17T11:14:05.482984,0,0,0,0,0.9789
REC_16048,2026-05-17T11:14:05.533119,0,0,0,0,0.8849
REC_16049,2026-05-17T11:14:05.583439,0,0,0,0,0.9791
REC_16050,2026-05-17T11:14:05.635610,0,0,0,0,0.9791
REC_16051,2026-05-17T11:14:05.685928,0,0,0,0,0.9885
REC_16052,2026-05-17T11:14:05.737017,0,0,0,0,0.9840
REC_16053,2026-05-17T11:14:05.788327,0,0,0,0,0.9917
REC_16054,2026-05-17T11:14:05.837988,0,0,0,0,0.8964
REC_16055,2026-05-17T11:14:05.889684,0,0,0,0,0.9782
REC_16056,2026-05-17T11:14:05.940878,0,0,0,0,0.9978
REC_16057,2026-05-17T11:14:05.991351,0,0,0,0,0.9786
REC_16058,2026-05-17T11:14:06.041724,0,0,0,0,0.9856
REC_16059,2026-05-17T11:14:06.093881,0,0,0,0,0.9965
REC_16060,2026-05-17T11:14:06.144238,0,0,0,0,0.9948
REC_16061,2026-05-17T11:14:06.195859,0,0,0,0,0.9950
REC_16062,2026-05-17T11:14:06.246585,0,0,0,0,0.9973
REC_16063,2026-05-17T11:14:06.296684,0,0,0,0,0.9299
REC_16064,2026-05-17T11:14:06.347221,0,0,0,0,0.9795
REC_16065,2026-05-17T11:14:06.398035,0,0,0,0,0.9940
REC_16066,2026-05-17T11:14:06.449653,0,0,0,0,0.9984
REC_16067,2026-05-17T11:14:06.500894,0,0,0,0,0.9929
REC_16068,2026-05-17T11:14:06.551749,0,0,0,0,0.9937
REC_16069,2026-05-17T11:14:06.603289,0,0,0,0,0.9750
REC_16070,2026-05-17T11:14:06.651672,0,0,0,0,0.9959
REC_16071,2026-05-17T11:14:06.702924,0,0,0,0,0.9955
REC_16072,2026-05-17T11:14:06.754447,0,0,0,0,0.9436
REC_16073,2026-05-17T11:14:06.804682,0,0,0,0,0.9917
REC_16074,2026-05-17T11:14:06.854790,0,0,0,0,0.9780
REC_16075,2026-05-17T11:14:06.905676,0,0,0,0,0.8805
REC_16076,2026-05-17T11:14:06.956053,0,0,0,0,0.9786
REC_16077,2026-05-17T11:14:07.007712,0,0,0,0,0.9776
REC_16078,2026-05-17T11:14:07.057085,0,0,0,0,0.9476
REC_16079,2026-05-17T11:14:07.108610,0,0,0,0,0.9869
REC_16080,2026-05-17T11:14:07.158949,0,0,0,0,0.8737
REC_16081,2026-05-17T11:14:07.209751,0,0,0,0,0.9779
REC_16082,2026-05-17T11:14:07.260646,0,0,0,0,0.9846
REC_16083,2026-05-17T11:14:07.312058,0,0,0,0,0.8063
REC_16084,2026-05-17T11:14:07.363010,0,0,0,0,0.9855
REC_16085,2026-05-17T11:14:07.413886,0,0,0,0,0.9792
REC_16086,2026-05-17T11:14:07.464730,0,0,0,0,0.9593
REC_16087,2026-05-17T11:14:07.514968,0,0,0,0,0.9792
REC_16088,2026-05-17T11:14:07.566532,0,0,0,0,0.9896
REC_16089,2026-05-17T11:14:07.617021,0,0,0,0,0.9770
REC_16090,2026-05-17T11:14:07.666965,0,0,0,0,0.9778
REC_16091,2026-05-17T11:14:07.718848,0,0,0,0,0.9095
REC_16092,2026-05-17T11:14:07.769692,0,0,0,0,0.9884
REC_16093,2026-05-17T11:14:07.819683,0,0,0,0,0.9895
REC_16094,2026-05-17T11:14:07.870909,0,0,0,0,0.9841
REC_16095,2026-05-17T11:14:07.922135,0,0,0,0,0.9776
REC_16096,2026-05-17T11:14:07.973304,0,0,0,0,0.9323
REC_16097,2026-05-17T11:14:08.023837,0,0,0,0,0.9832
REC_16098,2026-05-17T11:14:08.073944,0,0,0,0,0.9793
REC_16099,2026-05-17T11:14:08.124604,0,0,0,0,0.9734
REC_16100,2026-05-17T11:14:08.175116,0,0,0,0,0.9789
