record_id,kafka_transit_ms,inference_ms,e2e_ms
REC_587,2.014,10.080,12.094
REC_588,1.444,7.580,9.024
REC_589,1.006,8.004,9.010
REC_590,3.080,8.720,11.800
REC_591,2.035,8.103,10.138
REC_592,1.512,8.507,10.019
REC_593,2.198,7.994,10.192
REC_594,2.011,8.187,10.198
REC_595,3.502,7.002,10.504
REC_596,2.562,8.997,11.559
REC_597,2.210,8.000,10.210
REC_598,2.430,7.011,9.441
REC_599,2.322,6.985,9.307
REC_600,2.229,9.211,11.440
REC_601,1.847,7.514,9.361
REC_602,2.473,7.992,10.465
REC_603,3.044,9.048,12.092
REC_604,1.483,7.998,9.481
REC_605,0.909,8.515,9.424
REC_606,1.513,15.397,16.910
REC_607,3.010,10.007,13.017
REC_608,1.003,9.014,10.017
REC_609,1.937,8.163,10.100
REC_610,3.168,7.000,10.168
REC_611,1.516,10.009,11.525
REC_612,1.535,7.998,9.533
REC_613,2.099,8.000,10.099
REC_614,2.291,7.966,10.257
REC_615,2.015,9.001,11.016
REC_616,3.022,13.990,17.012
REC_617,1.487,9.011,10.498
REC_618,2.009,8.083,10.092
REC_619,2.167,8.001,10.168
REC_620,1.508,9.011,10.519
REC_621,1.351,10.009,11.360
REC_622,1.145,8.344,9.489
REC_623,2.369,8.204,10.573
REC_624,2.265,8.042,10.307
REC_625,2.016,7.005,9.021
REC_626,2.513,7.997,10.510
REC_627,2.334,8.675,11.009
REC_628,1.943,8.075,10.018
REC_629,3.032,8.248,11.280
REC_630,2.008,10.009,12.017
REC_631,2.572,7.951,10.523
REC_632,2.530,9.262,11.792
REC_633,2.005,7.008,9.013
REC_634,1.530,7.995,9.525
REC_635,2.404,9.032,11.436
REC_636,2.006,9.182,11.188
REC_637,2.327,7.998,10.325
REC_638,2.516,7.755,10.271
REC_639,3.087,8.002,11.089
REC_640,1.065,8.460,9.525
REC_641,1.594,8.022,9.616
REC_642,2.308,9.036,11.344
REC_643,2.322,7.996,10.318
REC_644,1.519,7.999,9.518
REC_645,1.346,8.003,9.349
REC_646,3.100,8.986,12.086
REC_647,3.284,7.893,11.177
REC_648,2.515,8.001,10.516
REC_649,2.040,7.168,9.208
REC_650,2.577,8.084,10.661
REC_651,2.008,8.006,10.014
REC_652,2.008,8.003,10.011
REC_653,1.364,8.008,9.372
REC_654,2.148,9.373,11.521
REC_655,2.572,7.996,10.568
REC_656,3.060,7.945,11.005
REC_657,6.006,8.000,14.006
REC_658,2.007,13.999,16.006
REC_659,1.017,8.069,9.086
REC_660,2.090,8.000,10.090
REC_661,1.581,9.097,10.678
REC_662,2.005,7.999,10.004
REC_663,2.528,7.996,10.524
REC_664,2.513,7.998,10.511
REC_665,2.009,7.518,9.527
REC_666,2.403,7.993,10.396
REC_667,1.508,7.514,9.022
REC_668,3.013,9.094,12.107
REC_669,2.298,7.614,9.912
REC_670,2.340,6.997,9.337
REC_671,2.823,8.686,11.509
REC_672,2.685,7.952,10.637
REC_673,1.005,9.594,10.599
REC_674,3.013,8.502,11.515
REC_675,2.527,9.005,11.532
REC_676,1.314,9.010,10.324
REC_677,2.397,9.077,11.474
REC_678,2.007,7.779,9.786
REC_679,2.562,8.600,11.162
REC_680,2.007,7.000,9.007
REC_681,2.005,7.164,9.169
REC_682,2.101,7.902,10.003
REC_683,1.494,7.995,9.489
REC_684,2.006,8.006,10.012
REC_685,1.366,8.001,9.367
REC_686,1.509,8.782,10.291
REC_687,2.511,8.495,11.006
REC_688,1.290,8.000,9.290
REC_689,1.508,9.000,10.508
REC_690,2.004,9.000,11.004
REC_691,1.507,8.001,9.508
REC_692,2.016,7.999,10.015
REC_693,2.005,7.999,10.004
REC_694,2.012,8.007,10.019
REC_695,2.010,6.999,9.009
REC_696,2.075,7.000,9.075
REC_697,3.008,8.779,11.787
REC_698,1.391,10.000,11.391
REC_699,2.023,8.983,11.006
REC_700,2.006,8.000,10.006
REC_701,2.005,9.008,11.013
REC_702,1.533,8.000,9.533
REC_703,1.012,7.999,9.011
REC_704,1.244,9.001,10.245
REC_705,2.006,9.019,11.025
REC_706,2.015,7.988,10.003
REC_707,2.026,7.989,10.015
REC_708,2.006,8.222,10.228
REC_709,2.010,8.000,10.010
REC_710,1.526,8.993,10.519
REC_711,3.080,9.098,12.178
REC_712,1.105,9.006,10.111
REC_713,2.510,8.057,10.567
REC_714,3.008,9.003,12.011
REC_715,2.103,9.004,11.107
REC_716,1.004,9.098,10.102
REC_717,2.906,7.997,10.903
REC_718,1.599,9.085,10.684
REC_719,2.094,6.995,9.089
REC_720,1.376,9.007,10.383
REC_721,2.004,7.623,9.627
REC_722,1.103,8.232,9.335
REC_723,1.491,7.004,8.495
REC_724,2.008,9.003,11.011
REC_725,2.044,9.014,11.058
REC_726,2.010,8.003,10.013
REC_727,2.057,8.327,10.384
REC_728,1.534,8.015,9.549
REC_729,2.010,8.007,10.017
REC_730,2.435,8.008,10.443
REC_731,2.007,7.199,9.206
REC_732,2.057,8.094,10.151
REC_733,1.510,8.001,9.511
REC_734,2.154,8.091,10.245
REC_735,1.508,8.998,10.506
REC_736,2.008,8.003,10.011
REC_737,2.017,7.986,10.003
REC_738,1.511,7.999,9.510
REC_739,2.020,7.993,10.013
REC_740,2.010,7.999,10.009
REC_741,1.013,8.000,9.013
REC_742,2.017,9.591,11.608
REC_743,2.014,7.998,10.012
REC_744,1.391,8.549,9.940
REC_745,1.509,8.001,9.510
REC_746,2.008,7.504,9.512
REC_747,2.048,7.999,10.047
REC_748,2.006,8.651,10.657
REC_749,1.579,7.984,9.563
REC_750,2.413,7.746,10.159
REC_751,1.530,8.321,9.851
REC_752,2.007,7.541,9.548
REC_753,1.991,7.645,9.636
REC_754,2.004,8.508,10.512
REC_755,2.059,8.972,11.031
REC_756,2.010,7.508,9.518
REC_757,1.509,7.998,9.507
REC_758,2.430,11.600,14.030
REC_759,2.104,9.915,12.019
REC_760,2.009,8.008,10.017
REC_761,1.531,8.010,9.541
REC_762,2.023,8.985,11.008
REC_763,2.009,9.043,11.052
REC_764,2.508,8.400,10.908
REC_765,2.005,7.999,10.004
REC_766,2.052,6.998,9.050
REC_767,1.530,9.008,10.538
REC_768,2.233,7.995,10.228
REC_769,2.020,9.004,11.024
REC_770,2.020,7.995,10.015
REC_771,1.507,9.038,10.545
REC_772,2.005,8.000,10.005
REC_773,2.009,7.998,10.007
REC_774,1.395,8.003,9.398
REC_775,1.327,9.031,10.358
REC_776,1.708,7.999,9.707
REC_777,2.120,7.007,9.127
REC_778,2.005,8.008,10.013
REC_779,1.508,8.000,9.508
REC_780,2.005,7.999,10.004
REC_781,2.006,8.006,10.012
REC_782,1.523,10.988,12.511
REC_783,2.009,9.995,12.004
REC_784,2.523,8.997,11.520
